Apartment Name,Average Rating,Latitude,Longitude,Price,Discount,Save money,Character,Room Type,Pets_allowed,Free canceled,Amenities,URL
Apartment in South Side Flats,4.82 (651),40.42761,-79.98638,$59,Yes,10,Spacious 2 Bdrm in South Side Flats,entire_home,No,Yes,,https://airbnb.com/rooms/11827641
Guest suite in Brighton Heights,4.95 (260),40.4885,-80.03723,$85,No,0,"Warm & Cozy, Newly Remodeled Private Space.",entire_home,No,Yes,,https://airbnb.com/rooms/52237556
Home in Mount Washington,4.89 (309),40.43382,-80.01327,$73,No,0,e 2br A short walk to Grandview sleeps up to 4 fun,entire_home,No,No,,https://airbnb.com/rooms/21390148
Apartment in Bloomfield,4.97 (115),40.46393,-79.94389,$94,No,0,Bloomfield/Shadyside KING Suite! OffStreet Parking,entire_home,No,Yes,,https://airbnb.com/rooms/983357102746193249
Apartment in Pittsburgh,4.81 (310),40.45441,-80.00073,$68,No,0,"1 Bed, idyllic, near stadiums, town, AGH. Pet OK",entire_home,No,Yes,,https://airbnb.com/rooms/50585924
Home in Pittsburgh,5.0 (8),40.47239,-79.96201,$139,Yes,19,Lawrenceville modern 1 story,entire_home,No,No,,https://airbnb.com/rooms/19138308
Apartment in Northshore,5.0 (9),40.4471,-80.00841,$135,No,0,Steel City Adventure | Stadium. Fitness Center,entire_home,No,Yes,,https://airbnb.com/rooms/1135621267556897898
Townhouse in Pittsburgh,5.0 (9),40.35982,-80.06041,$129,No,0,New Retreat in Convenient Suburb to airport/city,entire_home,No,Yes,,https://airbnb.com/rooms/1162514461841565157
Apartment in Pittsburgh,4.91 (93),40.41926,-79.99251,$42,No,0,Workers' row duplex,entire_home,No,Yes,,https://airbnb.com/rooms/31211713
Apartment in Pittsburgh,4.9 (534),40.49742,-80.05067,$57,Yes,7,"The Fremont Suite *Free parking, 10 mins to DWNTWN",entire_home,No,Yes,,https://airbnb.com/rooms/17775747
Apartment in Pittsburgh,4.9 (534),40.49742,-80.05067,$57,Yes,7,"The Fremont Suite *Free parking, 10 mins to DWNTWN",entire_home,No,Yes,,https://airbnb.com/rooms/17775747
Apartment in Pittsburgh,4.91 (44),40.33829,-79.96333,$100,Yes,62,Large 2 Bedroom Great Location Close to Everything,entire_home,No,No,,https://airbnb.com/rooms/579883787822919677
Guest suite in Pittsburgh,4.98 (187),40.46446,-79.94133,$84,No,0,"Sunny Friendship ""Treehouse"" 2 story / 1BD gem",entire_home,No,Yes,,https://airbnb.com/rooms/1491905
Apartment in Carnegie,4.94 (47),40.40765,-80.08178,$79,No,0,Perfectly Placed!,entire_home,No,Yes,,https://airbnb.com/rooms/52620225
