Apartment Name,Room Type,Unit Number,Unit Price,Unit Area,Available Time
Market Square Place,"605,701	Studio	1 bath",605,"$2,695","1,091 Sq Ft",Oct 15
Market Square Place,403	1 bed	1 bath,403,"$1,895",805 Sq Ft,Now
Market Square Place,203	1 bed	1 bath,203,"$1,895",805 Sq Ft,Now
Market Square Place,603	1 bed	1 bath,603,"$1,695",763 Sq Ft,Oct 24
Market Square Place,304	2 beds	2 baths,304,"$2,195","1,144 Sq Ft",Now
Market Square Place,404	2 beds	2 baths,404,"$2,295","1,144 Sq Ft",Now
Market Square Place,204	2 beds	2 baths,204,"$2,595","1,144 Sq Ft",Now
Market Square Place,311	2 beds	2 baths,311,"$2,595","1,406 Sq Ft",Now
Market Square Place,312	2 beds	2 baths,312,"$3,100","1,748 Sq Ft",Now
Market Square Place,"301,401	2 beds	1 bath",401,"$1,995","1,034 Sq Ft",Oct 15
Market Square Place,502	2 beds	2 baths,502,"$2,395","1,116 Sq Ft",Nov 15
Lot 24 Apartments,1 bed	1 bath,1 Bedroom,"$1,898 – $2,298","708 – 1,007 sq ft",Available Now
Lot 24 Apartments,1 bed	1 bath,2 Bedroom,"$2,545","1,035 sq ft",Available Now
Lot 24 Apartments,1 bed	1 bath,"1 Bed, 1 Bath Model","Call for Rent
                                / Person",,Not Available
Bracken House,1 bed	1 bath,A3,"$1,587 – $2,009",679 sq ft,Available Now
Bracken House,1 bed	1 bath,A4 Renovated,"$1,994 – $2,354",785 sq ft,Available Now
Bracken House,1 bed	1 bath,A5 Renovated,"$2,029 – $2,396",817 sq ft,Available Now
Bracken House,1 bed	1 bath,A1 Renovated,"$1,785 – $2,120",609 sq ft,Oct 1
Bracken House,1 bed	1 bath,A1,"$1,495 – $2,004",609 sq ft,Oct 11
Bracken House,1 bed	1 bath,A3 Renovated,"$1,855 – $2,332",679 sq ft,Nov 9
Bracken House,1 bed	1 bath,A4,"$1,755 – $2,210",785 sq ft,Nov 14
Bracken House,1 bed	1 bath,A5,Call for Rent,817 sq ft,Available Soon
Bracken House,1 bed	1 bath,A2,Call for Rent,629 sq ft,Available Soon
Bracken House,1 bed	1 bath,A2 Renovated,Call for Rent,629 sq ft,Available Soon
Bracken House,2 beds	2 baths,B2,"$2,229 – $3,096","1,086 sq ft",Available Now
Bracken House,2 beds	2 baths,B1 Renovated,"$2,449 – $3,375","1,013 sq ft",Available Now
Bracken House,2 beds	2 baths,B4,"$2,654 – $3,701","1,337 sq ft",Dec 7
Bracken House,2 beds	2 baths,B1,Call for Rent,"1,013 sq ft",Available Soon
Bracken House,2 beds	2 baths,B3,Call for Rent,"1,179 sq ft",Available Soon
Bracken House,2 beds	2 baths,B3 Renovated,Call for Rent,"1,179 sq ft",Available Soon
Bracken House,2 beds	2 baths,B2 Renovated,Call for Rent,"1,086 sq ft",Available Soon
Apartments at River View,1 Bedroom / 1 Bathroom - 894	1 bed	1 bath,ARV-1313,"$1,229",894 Sq Ft,Now
Apartments at River View,1 Bedroom / 1 Bathroom - 894	1 bed	1 bath,ARV-612,"$1,249",894 Sq Ft,Now
Apartments at River View,1 Bedroom / 1 Bathroom - 894	1 bed	1 bath,ARV-1312,"$1,239",894 Sq Ft,Oct 3
Apartments at River View,1 Bedroom / 1 Bathroom - 904	1 bed	1 bath,ARV-1011,"$1,259",904 Sq Ft,Now
Apartments at River View,1 Bedroom / 1 Bathroom w/ Den - 1064	1 bed	1 bath,ARV-207,"$1,539","1,064 Sq Ft",Now
Apartments at River View,1 Bedroom/1 Bathroom - 694	1 bed	1 bath,ARV-1315,"$1,239",694 Sq Ft,Oct 7
Apartments at River View,1 Bedroom/1 Bathroom - 694	1 bed	1 bath,ARV-715,"$1,189",694 Sq Ft,Oct 8
Apartments at River View,1 Bedroom/1 Bathroom - 694	1 bed	1 bath,ARV-1015,"$1,239",694 Sq Ft,Oct 29
Apartments at River View,1 Bedroom / 1 Bathroom - 912	1 bed	1 bath,ARV-606,"$1,279",912 Sq Ft,Oct 8
Apartments at River View,1 Bedroom / 1 Bathroom - 912	1 bed	1 bath,ARV-806,"$1,309",912 Sq Ft,Oct 15
Apartments at River View,1 Bedroom / 1 Bathroom w/ Den - 1099	1 bed	1 bath,ARV-214,"$1,149","1,099 Sq Ft",Oct 9
Apartments at River View,1 Bedroom / 1 Bathroom w/ Den - 1099	1 bed	1 bath,ARV-216,"$1,299","1,099 Sq Ft",Oct 26
Apartments at River View,1 Bedroom / 1 Bathroom - 794	1 bed	1 bath,ARV-714,"$1,319",794 Sq Ft,Oct 13
Apartments at River View,1 Bedroom/1 Bathroom - 867	1 bed	1 bath,ARV-1101,"$1,389",867 Sq Ft,Oct 15
Apartments at River View,1 Bedroom / 1 Bathroom - 819	1 bed	1 bath,ARV-503,"$1,509",819 Sq Ft,Oct 26
Apartments at River View,1 Bedroom / 1 Bathroom - 819	1 bed	1 bath,ARV-1003,"$1,509",819 Sq Ft,Nov 12
Apartments at River View,2 Bedroom / 2 Bathroom - 1155	2 beds	2 baths,ARV-1409,"$2,239","1,155 Sq Ft",Now
Apartments at River View,2 Bedroom / 1 Bathroom - Penthouse	2 beds	1 bath,ARV-1508,"$2,419","1,288 Sq Ft",Now
Apartments at River View,2 Bedroom / 1 Bathroom - Penthouse	2 beds	1 bath,ARV-1510,"$2,329","1,394 Sq Ft",Oct 4
Apartments at River View,2 Bedroom / 2 Bathroom - 1329	2 beds	2 baths,ARV-213,"$2,039","1,323 Sq Ft",Oct 11
Apartments at River View,2 Bedroom / 1.5 Bathroom penthouse	2 beds	2 baths,ARV-1509,"$2,969","1,778 Sq Ft",Oct 12
Crossroad Towers,Studio	1 bath,OPen One Bedroom,"$1,190",380 sq ft,Available Soon
Crossroad Towers,1 bed	1 bath,1 Bedroom,"$1,325 – $1,625",633 – 740 sq ft,Available Now
Crossroad Towers,2 beds	2 baths,2 Bedroom,"$1,685 – $1,950","990 – 1,170 sq ft",Available Now
Edge 1909,S1	1 bed	1 bath,563,"$1,886",581 Sq Ft,Now
Edge 1909,S1	1 bed	1 bath,253,"$1,711",581 Sq Ft,Oct 11
Edge 1909,S1	1 bed	1 bath,222,"$1,661",581 Sq Ft,Oct 19
Edge 1909,S4	1 bed	1 bath,460,"$1,786",620 Sq Ft,Now
Edge 1909,S4	1 bed	1 bath,538,"$1,836",620 Sq Ft,Oct 7
Edge 1909,S4	1 bed	1 bath,160,"$1,736",620 Sq Ft,Dec 2
Edge 1909,S5	1 bed	1 bath,375,"$1,835",653 Sq Ft,Now
Edge 1909,S5	1 bed	1 bath,339,"$1,913",653 Sq Ft,Now
Edge 1909,S5	1 bed	1 bath,475,"$1,916",653 Sq Ft,Sep 30
Edge 1909,A1	1 bed	1 bath,366,"$1,997",684 Sq Ft,Now
Edge 1909,A1	1 bed	1 bath,566,"$2,283",684 Sq Ft,Now
Edge 1909,A1	1 bed	1 bath,406,"$2,233",684 Sq Ft,Nov 5
Edge 1909,A2	1 bed	1 bath,159,"$2,217",713 Sq Ft,Now
Edge 1909,A2	1 bed	1 bath,244,"$2,243",713 Sq Ft,Sep 30
Edge 1909,A2	1 bed	1 bath,209,"$2,343",713 Sq Ft,Oct 9
Edge 1909,A3	1 bed	1 bath,330,"$2,318",744 Sq Ft,Now
Edge 1909,A3	1 bed	1 bath,479,"$2,340",744 Sq Ft,Now
Edge 1909,A3	1 bed	1 bath,379,"$2,368",744 Sq Ft,Now
Edge 1909,A4	1 bed	1 bath,220,"$2,386",804 Sq Ft,Now
Edge 1909,A4	1 bed	1 bath,514,"$2,603",804 Sq Ft,Oct 28
Edge 1909,A4	1 bed	1 bath,114,"$2,578",804 Sq Ft,Oct 30
Edge 1909,A9	1 bed	1.5 baths,181,"$3,048",986 Sq Ft,Now
Edge 1909,S2	1 bed	1 bath,483,"$1,796",584 Sq Ft,Oct 21
Edge 1909,S6	1 bed	1 bath,264,"$1,771",655 Sq Ft,Nov 7
Edge 1909,B4	2 beds	2 baths,248,"$3,178","1,152 Sq Ft",Now
Edge 1909,B4	2 beds	2 baths,226,"$3,028","1,152 Sq Ft",Oct 12
Edge 1909,B2	2 beds	2 baths,269,"$3,193","1,136 Sq Ft",Now
Edge 1909,B2	2 beds	2 baths,319,"$3,343","1,136 Sq Ft",Now
Edge 1909,BD1	2 beds	2 baths,107,"$3,813","1,378 Sq Ft",Now
Edge 1909,BD1	2 beds	2 baths,223,"$3,838","1,378 Sq Ft",Oct 6
Edge 1909,BD1	2 beds	2 baths,523,"$3,913","1,378 Sq Ft",Nov 28
Edge 1909,B1	2 beds	2 baths,562,"$3,003","1,071 Sq Ft",Oct 10
The Commonwealth Building,Suite S5	Studio	1 bath,1207,"$1,395",504 Sq Ft,Now
The Commonwealth Building,Suite S5	Studio	1 bath,0707,"$1,395",504 Sq Ft,Now
The Commonwealth Building,Suite S5	Studio	1 bath,0907,"$1,395",504 Sq Ft,Oct 14
The Commonwealth Building,Suite S3	Studio	1 bath,0302,"$1,395",467 Sq Ft,Oct 1
The Commonwealth Building,Suite S4	Studio	1 bath,2108,"$1,525",468 Sq Ft,Dec 16
The Commonwealth Building,Suite S2	Studio	1 bath,1005,"$1,275",434 Sq Ft,"Jan 7, 2025"
The Commonwealth Building,Suite A1	1 bed	1 bath,0207,"$1,627",722 Sq Ft,Now
The Commonwealth Building,Suite A5	1 bed	1 bath,0510,"$1,650",624 Sq Ft,Now
The Commonwealth Building,Suite A4	1 bed	1 bath,1409,"$1,880",615 Sq Ft,Now
The Commonwealth Building,Suite A4	1 bed	1 bath,1209,"$1,880",615 Sq Ft,Now
The Commonwealth Building,Suite A4	1 bed	1 bath,0409,"$1,880",615 Sq Ft,Now
The Commonwealth Building,Suite A7	1 bed	1 bath,0901,"$1,905",804 Sq Ft,Oct 1
The Commonwealth Building,Suite A7	1 bed	1 bath,1901,"$2,075",804 Sq Ft,Oct 20
The Commonwealth Building,Suite A7	1 bed	1 bath,1101,"$1,845",804 Sq Ft,Nov 16
The Commonwealth Building,Suite A6	1 bed	1 bath,1804,"$1,680",580 Sq Ft,Nov 10
The Commonwealth Building,Suite A2	1 bed	1 bath,0210,"$1,575",712 Sq Ft,Dec 27
The Commonwealth Building,Suite C1	2 beds	2 baths,0405,"$2,695",837 Sq Ft,Now
Bloomfield Apartments,Studio	1 bath,Friendship Court Studio,$989,,Available Now
Bloomfield Apartments,1 bed	1 bath,Friendship Court 1 Bedroom,"$1,159",,Available Now
Bloomfield Apartments,1 bed	1 bath,Baum Boulevard Flats ,"$1,199 – $1,350",,Available Now
Bloomfield Apartments,1 bed	1 bath,Negley House PRE-LEASING!,"$1,299 – $1,400",675 – 725 sq ft,Available Now
Bloomfield Apartments,1 bed	1 bath,Bryant 1 Bedroom Loft,"$1,299 – $1,599",525 – 575 sq ft,Available Now
Bloomfield Apartments,1 bed	1 bath,Brake House,"$1,785",,Available Now
Bloomfield Apartments,2 beds	1 bath,Baum Boulevard Flats,"$1,199",,Available Now
Bloomfield Apartments,2 beds	1 bath,Friendship 2 Bedroom,"$1,249",690 sq ft,Available Now
Bloomfield Apartments,2 beds	1 bath,Cinderella,"$1,760",,Available Now
University Commons,2 beds	1 bath,324|330 McKee- 2 Bedroom (485SF) | University C...,"$1,716",485 sq ft,Available Now
University Commons,1 bed	1 bath,316 McKee- 1 Bedroom | University Commons at McKee,"$1,115",807 sq ft,Not Available
Fieldbrook Apartments,1 bed	1 bath,Winchester 1 Bedroom,$799,,Available Now
Fieldbrook Apartments,1 bed	1 bath,Weber 1 Bedroom,$825 – $975,,Available Now
Fieldbrook Apartments,1 bed	1 bath,Voelkel 1 Bedroom,$925,,Available Now
Fieldbrook Apartments,1 bed	1 bath,Purchase Place 1 Bedroom,"$925 – $1,051",,Available Now
Fieldbrook Apartments,1 bed	1 bath,Fieldbrook 1 Bedroom,"$950 – $1,079",750 sq ft,Available Now
Fieldbrook Apartments,1 bed	1 bath,Morrison 1 Bedroom,"$1,025",825 sq ft,Available Now
Fieldbrook Apartments,1 bed	1 bath,Shady West 1 Bedroom,"$1,025",,Available Now
Fieldbrook Apartments,2 beds	1 bath,Wisconsin 2 Bedroom,"$1,150",,Available Now
Fieldbrook Apartments,2 beds	2 baths,Greentree Manor 2 Bedroom,"$1,225",,Available Now
The Waterfront Apartments and Townhomes,One Bedroom - 583 sqft	1 bed	1 bath,3110,"$1,600",583 Sq Ft,Dec 7
The Waterfront Apartments and Townhomes,"Two Bedroom 2 .5 Bath Loft - 1,435 sqft	2 beds	2.5 baths",4313,"$2,215","1,435 Sq Ft",Now
The Waterfront Apartments and Townhomes,"Two Bedroom 2 .5 Bath Loft - 1,435 sqft	2 beds	2.5 baths",4301,"$2,275","1,435 Sq Ft",Now
The Waterfront Apartments and Townhomes,"Two Bedroom 2 Bath - 1,193 sqft	2 beds	2 baths",1202,"$2,000","1,193 Sq Ft",Dec 7
The Waterfront Apartments and Townhomes,"Three Bedroom 3 Bath Townhome - 1,515 sqft	3 beds	3 baths",5301,"$2,385","1,515 Sq Ft",Now
The Waterfront Apartments and Townhomes,"Three Bedroom 3 Bath Townhome - 1,515 sqft	3 beds	3 baths",8301,"$2,435","1,515 Sq Ft",Now
The Waterfront Apartments and Townhomes,"Three Bedroom 3 Bath Townhome - 1,515 sqft	3 beds	3 baths",8306,"$2,465","1,515 Sq Ft",Now
1569 Duncan Dr,3 beds	1.5 baths,Whole House : 3 Bed 1.5 Bath,"$2,250","1,420 sq ft",Available Soon
Chalfont Apartments,Surrey	2 beds	1 bath,01-201,"$2,418","1,220 Sq Ft","Jan 8, 2025"
1709 FIFTH,Watson	Studio	1 bath,408,"$1,700",700 Sq Ft,Oct 5
1709 FIFTH,Stevenson	1 bed	1 bath,505,"$1,525",615 Sq Ft,"Jan 1, 2025"
1709 FIFTH,Pride	1 bed	1 bath,501,"$1,575",692 Sq Ft,Now
1709 FIFTH,Pride	1 bed	1 bath,413,"$1,750",692 Sq Ft,"Jan 1, 2025"
1709 FIFTH,Marion	1 bed	1 bath,502,"$1,800",788 Sq Ft,Now
1709 FIFTH,Gist	2 beds	2 baths,204,"$2,450","1,095 Sq Ft",Now
St. Clair Woods Apartments,2x1_Balcony	2 beds	1 bath,206,"$1,525",975 Sq Ft,Oct 1
St. Clair Woods Apartments,2x1_Balcony	2 beds	1 bath,806,"$1,525",975 Sq Ft,Nov 1
St. Clair Woods Apartments,2x1_Balcony	2 beds	1 bath,311,"$1,525",975 Sq Ft,Nov 15
The Ell on Ellsworth (A Hudson Property),The Ell- Model E	3 beds	1 bath,12,"$2,350",900 Sq Ft,Now
531 Collins St,3 beds	2 baths,"3 Beds, 2 Baths Model","$1,750","2,000 sq ft",Available Soon
Hudson Oakland,3 beds	1 bath,3229 Joe Hammer 3B1B R,"$2,100",886 – 950 sq ft,Available Now
5836 Alderson St,Two bedroom + Office	2 beds	1 bath,3,"$1,650","1,670 Sq Ft",Now
5836 Alderson St,Two bedroom + Office	2 beds	1 bath,5,"$1,650","1,670 Sq Ft",Now
The Clark Building,1 bed	1 bath,The Clark Building,"$1,420 – $1,575",630 – 860 sq ft,Available Now
The Clark Building,2 beds	2 baths,The Clark Building,"$1,935","1,050 – 1,160 sq ft",Available Now
Allegheny Branch House Lofts,Studio	Studio	1 bath,412,"$1,329",420 Sq Ft,Now
Allegheny Branch House Lofts,1 Bed 1 Bath	1 bed	1 bath,210,"$1,599",709 Sq Ft,Now
Allegheny Branch House Lofts,1 Bed 1 Bath	1 bed	1 bath,110,"$1,629",749 Sq Ft,Now
Allegheny Branch House Lofts,1 Bed 1 Bath	1 bed	1 bath,314,"$1,699",603 Sq Ft,Now
Allegheny Branch House Lofts,2 Bed 1 Bath	2 beds	1 bath,313,"$2,299","1,079 Sq Ft",Now
Allegheny Branch House Lofts,2 Bed 1 Bath	2 beds	1 bath,413,"$2,329","1,083 Sq Ft",Now
Allegheny Branch House Lofts,2 Bed 2 Bath	2 beds	2 baths,316,"$2,499","1,128 Sq Ft",Now
Allegheny Branch House Lofts,2 Bed 2 Bath	2 beds	2 baths,416,"$2,699","1,144 Sq Ft",Now
Brittany Apartments,Studio	Studio	1 bath,01-613,$907,405 Sq Ft,Now
Brittany Apartments,Studio	Studio	1 bath,01-815,$927,405 Sq Ft,Now
Brittany Apartments,Studio	Studio	1 bath,01-823,$915,405 Sq Ft,Oct 4
Brittany Apartments,2 Bedroom	2 beds	1 bath,01-701,"$1,364",655 Sq Ft,Dec 12
Baywood,1 bed	1 bath,BYD-1,"$1,000",800 sq ft,Nov 10
Park House Flats,2 bed 1 Bath	2 beds	1 bath,3741B,/Person,"1,000 Sq Ft",Soon
Park House Flats,2 bed 1 Bath	2 beds	1 bath,3471A,/Person,"1,000 Sq Ft",Soon
Park House Flats,2 bed 1 Bath	2 beds	1 bath,3721B,/Person,"1,000 Sq Ft",Soon
Village Square,2 beds	1 bath,"Two Bedroom, Patio","$1,250","1,073 sq ft",Available Soon
Allegheny Apartments,1 bed	1 bath,One Bedroom,"$1,190 – $1,500",504 – 694 sq ft,Available Now
Allegheny Apartments,2 beds	2 baths,Two Bedroom,"$1,900 – $2,150",929 sq ft,Available Now
Pleasantview Place,Studio	1 bath,3000- Studio,"$900 – $1,050",725 – 730 sq ft,Dec 1
Pleasantview Place,1 bed	1 bath,3000-C-1 bed,"$1,100 – $1,150",800 sq ft,Nov 15
Pleasantview Place,1 bed	1.5 baths,3000-C-1 Bed,"$1,300 – $1,350",850 sq ft,Nov 15
Pleasantview Place,1 bed	1.5 baths,1000- A 1 Bed ,"$1,300 – $1,350",900 – 950 sq ft,"Mar 15, 2025"
Pleasantview Place,2 beds	2 baths,1000- A-2 bed,"$1,400 – $1,450","1,000 – 1,050 sq ft","Mar 14, 2025"
Pleasantview Place,2 beds	2 baths,"3000-C-2 Bed, Walk-in Closet","$1,600 – $1,650","1,150 – 1,160 sq ft","Mar 14, 2025"
Pleasantview Place,2 beds	2 baths,"3000-C-2 BED, Corner Unit","$1,650 – $1,700","1,200 sq ft","Mar 14, 2025"
Pleasantview Place,2 beds	2 baths,1000-A-2B-Corner Unit,"$1,550 – $1,600","1,100 – 1,150 sq ft","Apr 16, 2025"
Pleasantview Place,3 beds	2 baths,3000- C-3 Beds,"$1,850 – $1,900","1,360 sq ft",Nov 15
Cornerstone Village Apartments,1 Bedroom Garden	1 bed	1 bath,01-011,"$1,449",693 Sq Ft,Now
Cornerstone Village Apartments,1 Bedroom Garden	1 bed	1 bath,01-301,"$1,171",630 Sq Ft,Sep 30
Cornerstone Village Apartments,1 Bedroom Garden	1 bed	1 bath,02-216,"$1,171",630 Sq Ft,Sep 30
Cornerstone Village Apartments,2 Bedroom Garden	2 beds	1 bath,01-102,"$1,909",886 Sq Ft,Now
Cornerstone Village Apartments,2 Bedroom Garden	2 beds	1 bath,02-202,"$1,881",916 Sq Ft,Sep 30
Cornerstone Village Apartments,2 Bedroom Garden	2 beds	1 bath,11-107,"$1,714",878 Sq Ft,Oct 15
Cornerstone Village Apartments,2 Bedroom Townhouse	2 beds	2 baths,17-57,"$1,735",965 Sq Ft,Now
Cornerstone Village Apartments,2 Bedroom Townhouse	2 beds	2 baths,09-6274,"$1,909",658 Sq Ft,Sep 30
Cornerstone Village Apartments,2 Bedroom Townhouse	2 beds	2 baths,08-6421,"$1,598",982 Sq Ft,Oct 30
Tiffany Apartments,1 bed	1 bath,Tiffany 1-Bedroom,$950,600 sq ft,Nov 9
Tiffany Apartments,2 beds	1 bath,Burn 2-Bedroom,"$1,030",900 sq ft,Oct 26
Homestead Masonic Hall Lofts,Studio	Studio	1 bath,301,"$1,095",533 Sq Ft,Now
Homestead Masonic Hall Lofts,Live/Work Studio	Studio	1 bath,303,"$1,799","1,421 Sq Ft",Now
Homestead Masonic Hall Lofts,One Bedroom	1 bed	1 bath,202,"$1,400",772 Sq Ft,Sep 30
Shadyside Commons,1 Bed 1 Bath	1 bed	1 bath,482-0103,"$2,395",862 Sq Ft,Oct 9
Shadyside Commons,1 Bed 1.5 Bath - Loft	1 bed	1.5 baths,482-0339,"$2,495",908 Sq Ft,Oct 29
Shadyside Commons,1 Bed 1 Bath - Platform	1 bed	1 bath,482-0229,"$2,250",683 Sq Ft,"Jan 1, 2025"
Shadyside Commons,2 Bed 2 Bath - Loft	2 beds	2 baths,482-0317,"$2,995","1,046 Sq Ft",Now
River Oaks,A1	1 bed	1 bath,909RO,"$1,799",650 Sq Ft,Dec 11
River Oaks,B1	2 beds	1 bath,911RO,"$1,599",840 Sq Ft,Now
River Oaks,B1	2 beds	1 bath,48OH,"$1,599",840 Sq Ft,Oct 2
River Oaks,B2	2 beds	1.5 baths,35OH,"$1,719","1,080 Sq Ft",Now
River Oaks,B2R	2 beds	1.5 baths,1106RO,"$1,994","1,080 Sq Ft",Now
Williamsburg South,Auburn	1 bed	1 bath,403-01,"$1,259",780 Sq Ft,Now
Williamsburg South,Auburn	1 bed	1 bath,403-03,"$1,259",780 Sq Ft,Oct 21
Williamsburg South,Bristol	2 beds	1.5 baths,433-01,"$1,467",980 Sq Ft,Now
Williamsburg South,Bristol	2 beds	1.5 baths,405-10,"$1,517",980 Sq Ft,Now
Williamsburg South,Columbia	2 beds	2 baths,431-01,"$1,484",980 Sq Ft,Oct 21
Williamsburg South,Columbia	2 beds	2 baths,431-07,"$1,509",980 Sq Ft,Oct 21
Lofts of Mount Washington,Two Bedroom	2 beds	2 baths,224,"$1,900","1,152 Sq Ft",Now
Lofts of Mount Washington,Two Bedroom	2 beds	2 baths,124,"$1,900","1,152 Sq Ft",Oct 1
Lofts of Mount Washington,Two Bedroom	2 beds	2 baths,416,"$2,200","1,192 Sq Ft",Oct 1
Lofts of Mount Washington,Two Bedroom Townhome	2 beds	2 baths,102,"$1,900","1,103 Sq Ft",Nov 1
Landmark on Carson Apartments,Three Bedroom	3 beds	1 bath,2008-200,"$1,740","1,200 Sq Ft",Now
3514 Butler St,2 beds	2 baths,"2 beds, 2 baths","$2,000 – $2,600","1,115 sq ft",Oct 1
3030 South Water Apartments,Turquoise - 2nd Floor	1 bed	1 bath,204,"$1,550",678 Sq Ft,Now
3030 South Water Apartments,Indigo - 1st Floor - Slope View	1 bed	1 bath,114,"$1,560",672 Sq Ft,Now
3030 South Water Apartments,"206 - 1 Bedroom, 1 Bath Apartment - Citron - Sl...	1 bed	1 bath",212,"$1,599",678 Sq Ft,Now
3030 South Water Apartments,"206 - 1 Bedroom, 1 Bath Apartment - Citron - Sl...	1 bed	1 bath",206,"$1,599",678 Sq Ft,Now
3030 South Water Apartments,Citron - 3rd Floor - Slope View	1 bed	1 bath,312,"$1,599",678 Sq Ft,Now
3030 South Water Apartments,Citron - 3rd Floor - Slope View	1 bed	1 bath,306,"$1,599",678 Sq Ft,Now
3030 South Water Apartments,Citron - 4th Floor - Slope View	1 bed	1 bath,412,"$1,625",678 Sq Ft,Now
3030 South Water Apartments,Citron - 2nd Floor - River View	1 bed	1 bath,203,"$1,690",678 Sq Ft,Now
3030 South Water Apartments,Citron - 4th Floor - River View	1 bed	1 bath,405,"$1,720",678 Sq Ft,Now
3030 South Water Apartments,Citron - 3rd Floor - River View	1 bed	1 bath,303,"$1,705",678 Sq Ft,Oct 15
3030 South Water Apartments,Citron - 3rd Floor - River View	1 bed	1 bath,311,"$1,705",678 Sq Ft,Oct 15
"5635-5645 Hobart, Pittsburgh, PA 15217",5637	2 beds	1 bath,5637-24,"$1,695",750 Sq Ft,Now
The Reserve at Summerset at Frick Park,2 beds	2 baths,"2 Beds, 2 Baths Model","$2,275 – $2,375","1,062 – 1,228 sq ft",Available Now
The Reserve at Summerset at Frick Park,1 bed	1 bath,"1 Bed, 1 Bath Model","$1,575",714 sq ft,Not Available
The Reserve at Summerset at Frick Park,3 beds	2.5 baths,"3 Beds, 2.5 Baths Model","$2,765 – $2,865","1,457 sq ft",Not Available
Hot Metal Flats,Studio	1 bath,Studio E2 (ADA),Call for Rent,614 sq ft,Not Available
Hot Metal Flats,Studio	1 bath,Studio E1,Call for Rent,543 sq ft,Not Available
Hot Metal Flats,1 bed	1 bath,One Bedroom A3,Call for Rent,674 sq ft,Not Available
Hot Metal Flats,1 bed	1 bath,One Bedroom A2,Call for Rent,684 sq ft,Not Available
Hot Metal Flats,1 bed	1 bath,One Bedroom A1,Call for Rent,627 sq ft,Not Available
Hot Metal Flats,1 bed	1 bath,One Bedroom A1 (ADA),Call for Rent,627 sq ft,Not Available
Hot Metal Flats,2 beds	2 baths,Two Bedroom B3 (ADA),Call for Rent,"1,277 sq ft",Not Available
Hot Metal Flats,2 beds	2 baths,Two Bedroom B3,Call for Rent,"1,277 sq ft",Not Available
Hot Metal Flats,2 beds	2 baths,Two Bedroom B2,Call for Rent,"1,023 sq ft",Not Available
Hot Metal Flats,2 beds	2 baths,Two Bedroom B1,Call for Rent,"1,051 sq ft",Not Available
Bakery Living,The Studio 3 (Blue)	Studio	1 bath,325,"$2,012",740 Sq Ft,Now
Bakery Living,The Micro 1 (Blue)	Studio	1 bath,334,"$1,938",508 Sq Ft,Oct 23
Bakery Living,Corporate Suite	1 bed	1 bath,322-C,"$3,465",809 Sq Ft,Now
Bakery Living,The 1 Bedroom 5 (Orange)	1 bed	1 bath,513,"$2,555",762 Sq Ft,Oct 27
Bakery Living,The 1 Bedroom 8 (Orange)	1 bed	1 bath,220,"$2,555",809 Sq Ft,Nov 2
Bakery Living,The 1 Bedroom 7 - ADA (Orange)	1 bed	1 bath,511,"$2,510",787 Sq Ft,Dec 21
Bakery Living,The 1 Bedroom 1 (Orange)	1 bed	1 bath,239,"$2,392",632 Sq Ft,Dec 29
Bakery Living,The 2 Bedroom 4 (Orange)	2 beds	1 bath,528,"$3,042","1,032 Sq Ft",Oct 21
Bakery Living,The 2 Bedroom 9 (Orange)	2 beds	2 baths,128,"$3,672","1,305 Sq Ft",Nov 3
The Gateway at Summerset,1BR/1.0BA	1 bed	1 bath,1842-201,"$1,730",768 Sq Ft,Now
The Gateway at Summerset,1BR/1.0BA	1 bed	1 bath,1823-202,"$1,730",768 Sq Ft,Oct 11
The Gateway at Summerset,1BR/1.0BA	1 bed	1 bath,1811-302,"$1,775",768 Sq Ft,Oct 18
The Gateway at Summerset,2BR/2.0BA	2 beds	2 baths,1810-203,"$1,980","1,051 Sq Ft",Now
The Gateway at Summerset,2BR/2.0BA	2 beds	2 baths,1875-202,"$2,310","1,258 Sq Ft",Now
The Gateway at Summerset,2BR/2.0BA	2 beds	2 baths,1843-301,"$2,350","1,258 Sq Ft",Now
The Flats at Southside Works,1 bed	1 bath,1 Bed 1 Bath,"$1,549 – $2,430","714 – 1,463 sq ft",Available Now
The Flats at Southside Works,2 beds	2 baths,2 Bed 2 Bath,"$1,964","1,209 sq ft",Available Now
Cosmopolitan Apartments,1 bed	1 bath,1AA,"$1,559",775 sq ft,Available Now
Cosmopolitan Apartments,2 beds	2 baths,2AA,"$2,049 – $2,114","1,060 sq ft",Available Now
Cosmopolitan Apartments,1 bed	1 bath,1AE,"$1,584",770 sq ft,Not Available
Cosmopolitan Apartments,1 bed	1 bath,1AD,"$1,604",850 sq ft,Not Available
Cosmopolitan Apartments,2 beds	2 baths,2AE,"$1,939","1,128 sq ft",Not Available
Cosmopolitan Apartments,2 beds	2 baths,2AC,"$2,049","1,120 sq ft",Not Available
Cosmopolitan Apartments,2 beds	2 baths,2AG,"$2,184","1,105 sq ft",Not Available
Cosmopolitan Apartments,2 beds	2 baths,2AH,"$2,184","1,120 sq ft",Not Available
The Square on Butler,1 bed	1 bath,2-201,"$1,900","1,027 sq ft",Dec 5
The Square on Butler,2 beds	2 baths,1-407,"$2,550","1,027 sq ft",Available Now
The Square on Butler,2 beds	2 baths,1-411,"$2,550","1,027 sq ft",Available Now
